id,text
1,"Broker offering access to a university payroll portal with employee emails and temporary passwords"
2,"Underground seller advertising a custom Android surveillance app with silent microphone capture and remote control"
3,"Clone of an insurance provider login page prepared with otp interception workflow and disposable domains"
4,"Archive posted containing loyalty program user records, hashed passwords, and internal support notes"
5,"Harmless thread discussing secure CI pipelines, code review quality, and dependency upgrades"
6,"Private channel member selling cracked merchant dashboard access with admin cookie and backup codes"
7,"Operator sharing a phishing kit targeting webmail users with fake captcha and redirect chain"
8,"Leaked panel export includes customer addresses, phone numbers, invoice pdf links, and api tokens"
9,"Normal engineering chat about React state management and frontend animation tuning"
10,"Vendor promoting loader-as-a-service bundle with persistence module, sandbox evasion, and crypter updates"
